Id,Expected
48,"O RT @Fatt_Stacks : L RT @YSLaurenT_ : Does n't look like any QT tonight . 4 days 7 hrs and 11 mins 😔"
49,"RT @safff_ « @SCREAM_MICHine @Elijah_R cuffin in the avi , Gim me $20 »"
50,"@mii_YoYo You Suppose To Say Good 'Morning LOVE ♥"
51,"Lil niggas in my brother school trying to bully him and one of em on highschool . Smh looking like I will be their tomorrow . fuck school"
52,"I feel gud ....."
53,"Someone was just questioning how I would look pregnant ... and asked if I would lose the weight after having the baby ... I said hell yea !"
54,"“ @WTFCrazyFacts : The average human experiences about 70,000 thoughts a day . ” I must be fucking stupid cuz I just think about one thing :\"
55,"I wish you had a fone so we can talk !"
56,"Wah my mum damn stalker sia i need to private my tweets"
57,"@asya269 Follow @hardiksco .. He has awesome quotes and Your end up with wow .. :-) Follow him if you like his tweets .."
58,"Jeronimo ft stay - i am no superman #np"
59,"Feelin like poop ..."
60,"@MaliiBo @_tee_aanal miss y 'all too just gon na leave me out the damn convo dicks lol"
61,"Yea * fist pumps * mhmm"
62,"I m prepared , but wait for eran's RT @lalafadilaa finally done with my outline .. the rest it 's your turn gaes @windwnda n @abcderan :)"
63,"Fucking bitches all the time i give em Dick i m on dey mind i got angels demons constantine"
64,"@Bitch3sLoveM3 i ve been fine .. could be better lol [:"
65,"Whenn i seee uglyy boys that i think is cutee , i bee likee mhmmmm he isss cuteeeee . && my momma holla out ion kno wth yu looking at lol"
66,"I had my old Bitch go bck 2 School 2 get her Masters ..."
67,"@LondonTrustNone Latee ASS Smh U Shud Be Ashamed Llss '"
68,"“ @Iamyungsmilez BLUEROOM MAY 19TH FEMS FREE AND DRINK FREE TIL 11:30 $5 ALL NIGHT BEHIND WINN DIXIE ON PINEHILLS ROAD LE GGOOO ”"
69,"RT @BrunoMars : Thugs do n't say that shit cray .... Thugs say That 's so Raven"
70,"bt I hate bein sick even more"
71,"20 DAYS LEFT TILL LONDON <3"
72,"@1SmartiePants when have u ever said yes ... ?"
73,"all i , wan na hear u say is r u mineeeee"
74,"@DomsWildThings OOooo you made my head spin with that one ! You are such a cheeky studmuffin !"
75,"#InMiddleSchool @TaeLovesMe_ slapped the shit out of tyeln , n that nigga just standed there y his face turnin pink !"
76,"I think when I am done with my MFA I should tear it in half & give the other half to my friend Paul . He deserves it . Thanks bro ."
77,"Some ppl r juz unrealiable ."
78,"@kristenmchugh22 @nerdsinbabeland I 'm actually a HUGE Harley Quinn fan . She 's my fav Gotham gal"
79,"Lets go Lakers"
80,"@TeamKeri_NC lmao i m playin w/ ur bro ! i was gon be like ' did ur mom really talk to her ? ' ROTF"
81,"i ai nt worried about you -- i know you 're strongg"
82,"Kanye West 's ' Runaway ' Movie is on VH1 right Now , it s good !... FACT !"
83,"@Aqua_fina_68n1 I 'm tired at work just chillin"
84,"RT @serenawilliams : Do u guys like amy new profile picture ?"
85,"@KJFrederick K , so u r sarcastic yes ? Seguins a FA . lol I can never tell tone online man ."
86,"@ohshititssam * wakes up to u ripping my clothes off and prepares myself for teh rape *"
87,"For Halloween i m being Charlie Sheen , drunk & naked . Simple costume ; socks & a bottle of scotch , maybe a hooker . And I 'll yell at everyone ."
88,"How do u say broke in Spanish ? Me no hablo ."
89,"now what i do hate is for a man to think it s ok to ask me for money @NITTIBEATZ #niggaplz"
90,"♥ RT @T_Kane : Welllllllll ... obviouslllllllly !! ( Antoine Dodson voice )"
91,"Varsha cooking lunch !! Yayyy"
92,"Ooh , That Was #champ Of Me !"
93,"@vicckiee Yea I saw that on my dashboard & was like whoa ! Yes I would give them all away to him ."
94,"@IamMiklovin if they worse then those then yea .. trash !! need a bag ? lol .."
95,"#oneofmyfollowers need dis ham so dey can stop cryin .... I DO NT THINK U WILL DO DAT BUT AYYEE I SAID DAT B4 N ......"
96,"@sexxystarr1009 haha u need sushi :)"
97,"dam this guy next to me is looking up some nasty ass shit o__O"
98,"soo where did @NickiMinaj find homie in her video .. cuz he is jus too much for my life .. yumm :) ... btw love the video"
99,"WOW this storm in NOVA is crazyyyyy - the students are loving the running in the rain to my class , but I am definitely not ."
100,"@inglewoodtip email comin yo way in 15 mins"
101,"Purple n gold everything"
102,"13 hour day . Fin ."
103,"Nike , horrible ad ! Very smug ."
104,"Spending the day withhh mommma !"
105,"#np Min Kyung Hoon - IT HURTS BECAUSE IT 'S LOVE ( Y )"
106,"@Gunservatively obozo will go nuts when PA elects a Republican Governor next Tue . Can you say redistricting ?"
107,"@ShellannaJ oo iight so basically it s worth it ? fuck it ! how long did it last"
108,"Lamar Gon na get some tonite huh . he got a ring , and the win . So he might as well !!"
109,"@ddemby5 yea they cancel out and durant fuck around and have 40 , they have no answer for him nobody does ..."
110,"@Raypman YO WHERE THE HEAT AT ? I SEE ICE COLD SHOOTING"
111,"Shout Out to Everybody falling asleep try na send Freaky Text Messages back N forth ."
112,"pick up the phone young man stop textin"
113,"#Celtics looking pretty beasty this yr I 'm predicting a championship run . Ps my nigga @KingJames still tha man ."
114,"Cnt wait to sleep !"
115,"@Kandi_CoatdKRI yu really was"
116,"@ShowOut_Havy : “ @ShowOut_Malc : Southside they outside . On they knees with they mouth wide ” ( / gzz must be drunk for sayin dat shyt realrap"
117,"It s either you r on my team or you r not !"
118,"@MarciandreA gud loc !"
119,"YOOOO IF YOU A KOBE FAN TWEET ME , WHAT 'S #LAKERIN"
120,"damn i got ta eat somethin ..... all I had to eat is SNICKERS and a Lemonade #smh damn ya boi on that #undergradBUDGET"
121,"Yooo wtf u been at !! Txt me !! RT @ULuvBrittLin : It 's show off Tuesday cuz no work Wednesday for me ... Hehehehehe ;-)"
122,"I 'm no meteorologist , but I 'm pretty sure it s raining bitches !"
123,"Shannon better start claiming chris as his lil bro"
124,"He Neva Tells NO .... i HiT it & theN i GO"
125,"@kriStenALesE09 she uglyy aha ."
126,"a girl from last night txted me 2day wonderin where her keys were . it took me 2 replies on my part til i realized i did n't want 2 talk 2 her"
127,"Brb . Got ta takke some more things off mii phone ..."
128,"@Yo2PrettySWEET lol i guesssss"
129,"What makes u not want to tell me the truth ? What 's the fuckn point . When do u tell the truth ... Lies are not for me ."
130,"Just tracked down a few of my fav junior high students from 1995 - * sigh * - they are adults now . so weird . they are beautiful kids , tho ."
131,"Yayyyy Boston !"
132,"' That 's what we calll ya ... '"
133,"FB ' philip christovale"
134,"@ChaChaRealSmoov @iTS_TRiCiE .... Mypooh do nt be messy ! .. yu jus pissed me tha fuck off ! gtfo my TL !!"
135,"Keep trying to climb but it s too steep another shot of whiskey and back to sleep"
136,"man for petesakes scratch that sweepstakesss . hahahha ."
137,"Bout ta Shake Da Croud So Y all Culd Start Hateing Now"
138,"@fiteraahR hy ! :)"
139,"Subby Dubby Doo is too cute for life ommggggg <3 love"
140,"@jojo_9030 I was legit about to before I saw the release date of Ss 's new album . Hahaha"
141,"Allllllllllll these tweets were from math .. Justsayin ' (:"
142,"Lmao u wild RT @KorinGreen : As a mixed child I use to call my mom a nigga just cus she could never say it back and she would b mad too lmao"
143,"@CSI_JBieber hahaaha !! i do nt care if she realises i will be like shut up teacher and go do your work !! hehe then i will be in trouble !!"
144,"@Uncrownd_Prince hell yea"
145,"@We_luv_thisGuY was guud shitty ass"
146,"That thing caused abt $200 from the mall i wonder would my warranty help"
147,"#IfMyMomsHadATwitter I would throw subs at her like it was no tomorrow -_-"
148,"@xMSxJAZZEExTGOD lol , naw , we good"
149,"RT @Jadesmokedgreen : Who 's ever smoked before they took a test at school ? / * raises hand & jumps up & down * me , meee !"
150,"@HippieOfLove u eat sushi ?"
151,"Iyaz is an ugly mofuhka . Lol i v seen him super up close . #randomthought"
152,"Y ll wis u live in MIAMI"
153,"@joe0718 hey easy on my dude Bron Bron . it s early u kno better ..."
154,"@beethequeenbee lol . Awe"
155,"Who you twitter banging ? Since the chances of you getting for real is ' 0 ' . Me Jada Pinkett Smith . Sorry Will . Just a lil twit adultry . :)"
156,"RT @Shae_FreeDrizzy : No you 're not twinn RT @Jay_Reyes : I 'm Ugly ."
157,"She got 2 b good looking cuz she so hard 2 please"
158,"fiN na gO tO cHeErleAdiN pRactiCe ... yaY #cheer"
159,"Haha . My producer said UV vodka is a bad situation waitin to happen , i said #fuuuuuuucccit"
160,"@FreshETP757 @MuneeETP @SleepETP , MORNING #ETP FAM"
161,"@josaypoo GURRRL HE WO N'T BE ABLE TO HELP . ~RUHYPNOL"
162,"RT @Relationship1O1 : Stop fooling urself with ' it 'll be different this time ' , it s just different shades of the same"
163,"damm that cutt deep , i justt noticedd daht ....."
164,"Y all sholl is quiet !! SPEAK UP lol RT @MzCHinezeEyez : @McQSpeaks We Still Here !!.... lol"
165,"I wud like to know why my lightbulb is behaving in such a manner . The thing w n't turn on . Forces me to leave ma room to read . Chah !"
166,"Wat s that RT @flacodf : @JasminCalle Jasmin are you gon na be at the SEMA Show ??"
167,"@JevonPepper I have them in my fridge right now , but they should be fine , I could freeze them if ya like ."
168,"RT @ACEoutdaMO #imsoMoCity .... RT @QDaDon : Freestylin tha whole Mo City Don Freestyle with Ro ..."
169,"I m home :-)"
170,"Microwaved Grilled Cheese / The Getto Grilled Cheese Sandwhich / They 're Made With Real Cheese #haiku #mooku"
171,"@HollaAtBeanZ lol u good just want to give credit where credit is due when sending to radio or tv cats needs their royalties nah mean !"
172,"@slimmazglue well y da hell u did nt charge it ??"
173,"RT @TheTiffanyShow : God is providing water in the desert place ! He 's getting ready to wet your life ! U ought 2 just bless him for it !"
174,"@BelletheQUEEN eh , idk ... I think I could do it , but to actually GET there , u haf ta be a groupie .. unless leBron walks through my front door"
175,"ugh i hate bitchez who tlk shitt ! they dumb af tellin sumone we kno like we ain fina hear . i think it s time to strt callin fades !"
176,"@survivalstation do nt expect any prominant dems like Rham E to be on stand my guess O told blago take the fall & I will pardon jan 1"
177,"lakers alll day day"
178,"These refs are being paid off by the Canucks ...."
179,"I NEVER meet a BITCH that did n't need a lil guidance , so I dismiss her past until she disappoints your hieness !!!"
180,"I bet ! Haha #teamceltics yesterday ! Clowns ! RT @BigJon_99 : #teamheat at Philly 2nite , let's go !"
181,"@GEDDYMUSIC And Uh Next VIdeo Shoot in The Hood Holla at A Nigga Ju Heard ??"
182,"@DJTommy2GunzLTL smh they had to book him fa something .. smh"
183,"You Like Following Me Huh ? ¯\_(ツ)_/¯ Tell Ya Friends Bless Them With A Follow Today !! [[ #TFB ]] #TFR"
184,"Niggas be thirstyyyyyyyy"
185,"YEEEEEEES LAKERS !!! RT @KaranLambert : @adamlambert The Laker girls danced to FYE at halftime !!"
186,"So I 'm hungry and pissed off I have the worse luck ever in the history of luck"
187,"Celtics 1-0 Heat 0-1 now tht is how you start off the season :)"
188,"It 's physically impossible . RT @RoscoSpears : I just attempted to hold my eyelids open whole sneezing . It did n't quite work out as planned ."
189,"@Jveal2_Smoove11 They try na close all the black HS's in Charlotte"
190,"Always caring bout other muhfckers feelings"
191,"Iight so how 's every one"
192,"RT @misspyt19 : This girl breath next to me is on 10 !!!! --- It s probably yours u smell"
193,"It 's Been Coldd :/ i Guess It 's Better Than Beingg Hot Tho . Where Do Yuhh Live At ? @iKnow_YouWantMe"
194,"#badcombination any bitch born in da 9o's & me"
195,"@spainzaku STHERIOUTHLY ."
196,"@Hollyw00d_0821 : It s lil bumbs around her lip and she swear it s her lipgloss #dumbniggathere < bumps * typo *"
197,"@BertoLucas Lake Show fo sho !! we taking it again"
198,"it s #HumpDayyy >"
199,"@ItsDreCalayan haha night me 2"
200,"Got work to do but u betta believe I 'm tuning in to this game !"
201,"Where tha beautiful ladies at ?"
202,"@PayME_FuckYou thnx"
203,"do you know how to speak in well structured , thought out , complete sentances ? no ? did nt think so ."
204,"HIGHHHHHH @danielaameoww :)"
205,"they say uncontrollably shaking is an early signs of parkinsons"
206,"@TeamEL_DeBarge in Bham I & TeamEl_AL will be in full effect 4 @ElDeBarge 10/30/10 !"
207,"Word I 'm bout to holla at her via twitter RT @iamJay_Fresh : #trushit - i m try na fucc nicki minaj lol"
208,"@Iambunnylavish Yeah I m goodie just in the lab working ... Wow ! I need to be where you at ! lol let me visit"
209,"it s the sixers RT @JWsDREAMER #miamiheat gettin it 2gether now ... #ilike"
210,"Having lunch at lp with 2 great & funny people @princessrae123 && @marylizmitchell"
211,"@diamondTIERA we got ta test guh ! My teacher said she gne strt takin off points if we late on test dayz ...."
212,"@eclecticwhatnot no ma'am . i 'z fer realz ."
213,"I wan na see #drake and #llcoolj do a colab together , who 's with me ?"
214,"@miox4u noo ... Sostar !!!!"
215,"when is butt pride ? cause i got a big ol trunk wit junk it it"
216,"So I told @ela_sr I was gon na tweet from my gate , this is my tweet , there 's some cute guys in hereee . Hollaaaaa"
217,"@The_Loveway prolly was nt"
218,"@DeeNeeCole yea I was wondering if after they banned the indian we got a new one"
219,"@Chelseeirene__ damn wen r u coming back to skool !?"
220,"it s sad that i m just now watching the Britney #Glee episode , smh"
221,"@YaBoiyeDlmao .. hey no shine .. lol jk .. how been bro ?"
222,"@Molson1973 ya I 'm fine :)"
223,"And these lights ai nt makin it anyyyyyyy bwtter"
224,"Ac would b nice"
225,"@TymetheInfamous Tyra mail ... how r u ??"
226,"@brepilon I know ! xD But it just feels like it s all auto tuned now ... :/"
227,"being sick reallyyyyyyyyyyyyyyyyyyyyyyy fucken sucks !."
228,"@AmonReNas i m good . how u doin luv ?"
229,"i m bout to eat choco chip cookies and drink strawberry kiwi"
230,"Holla for #humpday"
231,"@PhilaSports hahaha that happened last time I was there . She kept yelling ' it s fan appreciation day ! ' Over and over and over . Epic fail ."
232,"Note to self : got ta check out Justified in feb . FX"
233,"Nothin new in my book RT @DailySexTips When he 's stroking in & out ... Tighten ya pussy muscles when he 's goin OUT ! #sextips"
234,"@ChingyJackpot follow me6"
235,"RT @justinbieber : LA TONIGHT WAS CRAZY !!!! USHER , JADEN , SEAN , and even my lil sis WILLOW SMITH !!!! WE SHUT LA DOWN !!!!!!!! LOVE Y ALL"
236,"@kirkistan I seriously need 2 read & listen to ur blog more often , u r a wealth of encouragement & knowledge 2 which I have been ignorant"
237,"i m bored"
238,"So many Lakers bandwagoners in New Orleans . I think they all should just accept it . Everyone always has their ' reason ' why LA is their fav"
239,"winddd ! D: ewww , got ta put my hair up -___-"
240,"@TheCodySimpson : u and my life , my everything .. follow me please !"
241,"@JustCallMeRJ yo ass bout to get deleted if u do nt follow me back hoe"
242,"Traffic is bout to start looking real nasty on this damn freeway"
243,"@MommasDesire there goes my sis ☺"
244,"I knw u ca n't bring every one u meet home"
245,"The Pub Quiz starts in 20 mins @JacksChicago on Southport ! We 're there ' til 11 so come on down anytime and still have a chance to win !"
246,"@mcruz1205 --- Thank u , and I finally am ..."
247,"RT @TDG_the_ExO : @CallMeKingDom it is what it is bruh ... lol . < Lol but @ the cost of his knees tho ? Y cnt u jus w8 til he gets old & retires"
248,"Awww Brandy i thought you was gone beat Lea up :( i m kind a glad you did nt lmaoo Kristien took da moneyy"
249,"@RobKardashian any new tatts ? Where 's ur tattoo artist ?"
250,"@LogikalDeuce LMAO .. aye young Jedi be smooth hahaha"
251,"i thought of u 2day & relized i still loved u & i said Even if i fall in love again with someone new it cud never be the way i loved you :("
252,"@LezbosDMV we should hang out since we live in da same fukin hood lol"
253,"@randomrichiie supp foo"
254,"@PhillyD05 SILLY SILLY MAN ! Lmao OK ! #pau bout work out !!"
255,"RT @dj_passion256 : @J_Rhodes nice meeting you last nite ! < you 2 ! #nowfollowing"
256,"RT @23jumpmankickZ : u no u ca nt sing but u n d choir at church #Whodoesthat -- Every muh`fuggah at a Baptist church -_- smh !"
257,"@Conscientious22 GETS ON MY MF LAST NERVES BUT I DEAL WIT IT #DEALWITHIT BIG HEAD"
258,"RT @TurquoiseJeep : Whad up my dude ... The album is actually on the way soon , we 'll keep u posted homie . We really PRECIATE the support KTJR"
259,"Ima beast at pickin out grapes"
260,"@DaphneByrne good morning for you hun !!"
261,"It s time to make big changes ..."
262,"@True2This said I look like I 've been in the gym ... YES !!! Thanks to my lil bro / trainer Jhermz , lol !!"
263,"I wan na go to a bar .... not to drink tho ..... just to get out the house"
264,"@BfugginC you see the DM bro"
265,"Oh thx dear ! Lol I was lost for 2.5 seconds RT @Not_Applicable_ : @nicpink1 ya foo"
266,"Win or lose if this does n't prove how good miami COULD b on any given night then ya 'll just not keepin it real"
267,"RT @TheSingleWoman : Before u fall , make sure it 's 4 someone brave enough to catch u . Otherwise , keep standing & wait 4 the one who IS ! #TheSW"
268,"@yeaaaitsali thanx sis love ya lots"
269,"The whold fucking 300 wing smells like cinnamon bunzzzz . Thanks culinary arts . High five ."
270,"RT @StriVectin Today thru Oct 30 get 30 % OFF select StriVectin Products @ any @MacysInc ! RT THIS & Follow to #win Discovery Kit #giveaway"
271,"@PleazeBelieveMe lmao u should see my hand motions"
272,"Am I ur one and only desire ? Am I the reason you breathe , or am I the reason you #cry ?"
273,"this is startin to get borin now ..."
274,"@WilliefknUnique hahah well that a diff story then :P lmao he does nt wan na talk to ya . he s talkin to me foo ! ;)"
275,"We has real internets at laaaaaaaaast !"
276,"@JeffroMusic @arlene_chang she ca nt Cus she probably the same size as the bop haha"
277,"@PimpThoughts the invite was actually 2 lure 'em in2 the den of lions . She assured me they 'd bring napkins 2 wipe away tears frm #roastin"
278,"I think I get fever . Geez ."
279,"@DjDSTRONG I would of swore u said that yesterday :/ lol"
280,"Real niqqa tlkin stfu hoe"
281,"@Miz_Kellie wat cha doin"
282,"stfu #teamceltics IS NOT silent ... and we still up NIGGA WHAT !!!"
283,"@sotinafunk no one cares . ppl are used to foolish grabs for attention . they 'll just * shrug *"
284,"I pick my nose wit my penis"
285,"@NicoleDaboub that 's pretty hawt is that all of the outfit ?"
286,"I wish I can rewind time n go way back to when I was playing with my doll house n tea set with my imaginary friends it was much better then ."
287,"This lil girl got some unnecessary tattoos but the art work is superb ."
288,"@harvepierre heyyy did you receive the email i sent earlier today ??? Let me know por favor :)"
289,"@RedB3rryCARTER but you got ta think Nigga they playin teams that already got the chemistry not lookn 4 it"
290,"Agree that humanizing brand is paramount but associating w 1 personality has big risk : Dell , Vzn , Tiger , MJ , ... #brandchat"
291,"Just saw a commercial for the new goldeneye AHHHHH !!!!"
292,"Naw we pressd da nigga he did some slimey shit it was 2 of us against four of dem and dey was some brolik grown ass men @Dope_Montana"
293,"@FireMedic_Eric Nooooooo :( ! do n't say thaaaaat ."
294,"Dis nigga just went HAM on First 48 !"
295,"UNC lookin' good right about now . Might haf ta start this application"
296,"RT @TBManOfTheYear I 'm gettin a lil sad about #HC10 ... << y ?? U r not coming ??"
297,"@KOTCBLADE my bad i said yes sir i text bac on my phone did nt go thru i guess"
298,"@sambolicious69 yess i am"
299,"@MelanieDenmark i m Tryin to figure out the email But mckayla is the ONLY one with the pw"
300,"@jazzyjaztho hahaha lmao @ mutha bustin .. and why not that seems like a fun game pahaha jkaay jkaay"
301,"@MsYellaMulann @Ra_StayViolatin call us now lol y not"
302,"@AUsPriceless come on out there ... do n't b scared now .."
303,"@primesuspect I am glad u were able to make it . #backchannel"
304,"still up ... no reason tho"
